TANGGAL,TN,TX,TAVG,RH_AVG,RR,source_file
2024-07-01,24.3,31.5,27.4,81.0,0.1,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-02,24.3,33.2,27.9,77.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-03,24.2,33.6,28.6,74.0,2.1,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-04,22.6,32.9,27.6,73.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-05,22.4,34.2,27.3,78.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-06,22.8,32.5,27.4,79.0,0.8,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-07,22.1,33.1,27.9,75.0,2.5,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-08,,30.8,,,,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-09,23.7,30.1,26.9,87.0,1.6,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-10,23.4,30.4,26.1,86.0,1.5,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-11,22.8,33.9,27.6,74.0,8888.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-12,23.4,31.4,26.4,86.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-13,23.6,33.9,28.7,79.0,17.3,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-14,24.2,30.2,27.0,82.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-15,23.8,32.2,27.6,78.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-16,23.8,31.8,27.9,77.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-17,24.2,33.2,28.5,72.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-18,22.8,33.8,27.9,77.0,0.6,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-19,23.4,33.2,28.6,77.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-20,25.0,34.0,29.1,74.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-21,25.4,33.3,29.0,75.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-22,25.5,34.4,29.2,75.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-23,25.0,35.2,29.7,71.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-24,26.0,35.6,29.9,69.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-25,24.6,35.2,29.2,71.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-26,23.8,34.0,28.1,75.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-27,24.2,33.7,28.9,72.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-28,24.8,34.7,29.2,72.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-29,24.7,33.9,29.0,74.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-30,23.7,34.6,28.6,76.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx
2024-07-31,23.7,29.0,25.0,91.0,0.3,laporan_iklim_harian-Juli - 2024.xlsx
2024-08-01,23.1,33.9,28.0,79.0,27.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-02,23.2,33.1,28.4,79.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-03,25.1,33.9,29.0,75.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-04,23.3,32.3,26.4,86.0,7.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-05,23.1,31.4,26.9,83.0,8888.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-06,23.8,32.7,28.0,80.0,8888.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-07,23.9,31.2,26.6,88.0,24.1,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-08,24.0,32.6,27.7,82.0,8888.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-09,24.8,31.2,27.0,82.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-10,23.8,33.5,28.1,80.0,8888.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-11,24.4,33.0,28.6,80.0,8888.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-12,23.6,34.1,28.4,75.0,8888.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-13,23.7,32.7,28.0,78.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-14,24.5,33.4,28.0,76.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-15,24.8,33.6,27.8,83.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-16,25.6,28.8,25.6,96.0,1.2,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-17,23.9,32.6,27.7,82.0,49.7,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-18,24.4,32.5,27.7,84.0,8888.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-19,24.3,34.0,29.1,76.0,11.6,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-20,24.0,30.0,25.8,88.0,3.6,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-21,24.0,30.4,26.6,86.0,0.4,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-22,24.2,32.5,27.6,82.0,8888.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-23,24.2,28.9,25.7,90.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-24,23.4,29.2,25.9,87.0,8.9,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-25,23.0,32.4,26.5,83.0,0.3,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-26,23.3,32.0,26.9,81.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-27,23.9,30.2,26.9,83.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-28,23.4,32.4,27.6,75.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-29,24.2,34.2,28.7,76.0,8888.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-30,24.4,33.3,28.5,73.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-08-31,24.5,33.7,28.8,73.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx
2024-09-01,24.0,35.1,28.9,75.0,8888.0,laporan_iklim_harian-september 2024.xlsx
2024-09-02,25.3,34.3,29.2,80.0,15.5,laporan_iklim_harian-september 2024.xlsx
2024-09-03,23.2,32.8,27.1,80.0,13.0,laporan_iklim_harian-september 2024.xlsx
2024-09-04,23.4,30.4,25.8,88.0,0.5,laporan_iklim_harian-september 2024.xlsx
2024-09-05,23.8,34.9,28.9,78.0,8888.0,laporan_iklim_harian-september 2024.xlsx
2024-09-06,24.3,33.0,28.2,80.0,0.1,laporan_iklim_harian-september 2024.xlsx
2024-09-07,25.0,34.8,29.9,73.0,8888.0,laporan_iklim_harian-september 2024.xlsx
2024-09-08,25.0,34.0,28.7,76.0,8.3,laporan_iklim_harian-september 2024.xlsx
2024-09-09,24.9,29.8,26.8,85.0,0.0,laporan_iklim_harian-september 2024.xlsx
2024-09-10,23.8,32.0,27.1,82.0,4.8,laporan_iklim_harian-september 2024.xlsx
2024-09-11,23.8,31.7,26.6,88.0,0.1,laporan_iklim_harian-september 2024.xlsx
2024-09-12,23.3,30.6,26.1,87.0,8.2,laporan_iklim_harian-september 2024.xlsx
2024-09-13,23.2,34.4,28.2,74.0,0.0,laporan_iklim_harian-september 2024.xlsx
2024-09-14,23.2,33.0,27.2,81.0,8888.0,laporan_iklim_harian-september 2024.xlsx
2024-09-15,23.2,31.9,27.6,81.0,1.6,laporan_iklim_harian-september 2024.xlsx
2024-09-16,22.9,34.2,27.5,77.0,0.4,laporan_iklim_harian-september 2024.xlsx
2024-09-17,23.2,32.2,26.7,84.0,0.0,laporan_iklim_harian-september 2024.xlsx
2024-09-18,23.3,33.1,28.0,76.0,8888.0,laporan_iklim_harian-september 2024.xlsx
2024-09-19,23.2,34.7,28.4,74.0,0.8,laporan_iklim_harian-september 2024.xlsx
2024-09-20,24.4,34.4,28.8,75.0,8888.0,laporan_iklim_harian-september 2024.xlsx
2024-09-21,23.9,34.8,28.7,72.0,0.1,laporan_iklim_harian-september 2024.xlsx
2024-09-22,24.4,35.1,29.5,71.0,0.0,laporan_iklim_harian-september 2024.xlsx
2024-09-23,25.5,34.3,28.2,82.0,0.0,laporan_iklim_harian-september 2024.xlsx
2024-09-24,22.7,33.9,26.7,79.0,1.4,laporan_iklim_harian-september 2024.xlsx
2024-09-25,23.3,33.5,28.5,76.0,0.0,laporan_iklim_harian-september 2024.xlsx
2024-09-26,22.3,29.9,24.7,89.0,1.5,laporan_iklim_harian-september 2024.xlsx
2024-09-27,22.4,33.9,27.9,79.0,0.8,laporan_iklim_harian-september 2024.xlsx
2024-09-28,24.0,31.4,26.8,86.0,0.0,laporan_iklim_harian-september 2024.xlsx
2024-09-29,24.5,34.7,28.6,78.0,4.1,laporan_iklim_harian-september 2024.xlsx
2024-09-30,23.8,34.6,28.3,77.0,8888.0,laporan_iklim_harian-september 2024.xlsx
2024-10-01,23.6,32.1,26.8,82.0,0.0,laporan_iklim_harian-oktober 2024.xlsx
2024-10-02,23.9,34.5,28.7,78.0,8888.0,laporan_iklim_harian-oktober 2024.xlsx
2024-10-03,23.7,33.0,26.9,85.0,2.0,laporan_iklim_harian-oktober 2024.xlsx
2024-10-04,24.3,32.0,26.7,87.0,2.5,laporan_iklim_harian-oktober 2024.xlsx
2024-10-05,24.7,33.0,26.8,85.0,8888.0,laporan_iklim_harian-oktober 2024.xlsx
2024-10-06,23.6,32.2,27.3,82.0,24.2,laporan_iklim_harian-oktober 2024.xlsx
2024-10-07,24.1,33.2,28.5,75.0,0.0,laporan_iklim_harian-oktober 2024.xlsx
2024-10-08,24.8,31.1,26.8,91.0,0.0,laporan_iklim_harian-oktober 2024.xlsx
2024-10-09,24.3,33.6,28.4,79.0,13.3,laporan_iklim_harian-oktober 2024.xlsx
2024-10-10,24.5,31.8,26.9,85.0,0.0,laporan_iklim_harian-oktober 2024.xlsx
2024-10-11,25.0,32.2,27.7,84.0,11.7,laporan_iklim_harian-oktober 2024.xlsx
2024-10-12,23.5,32.1,27.1,85.0,20.3,laporan_iklim_harian-oktober 2024.xlsx
