RR,Rain7,RH_avg,Tavg
0.1,0.1,81.0,27.4
0.0,0.1,77.0,27.9
2.1,2.2,74.0,28.6
0.0,2.2,73.0,27.6
0.0,2.2,78.0,27.3
0.8,3.0,79.0,27.4
2.5,5.5,75.0,27.9
0.8,5.4,81.0,27.4
1.6,7.0,87.0,26.9
1.5,6.4,86.0,26.1
0.8,6.4,74.0,27.6
0.0,6.4,86.0,26.4
17.3,22.9,79.0,28.7
0.0,20.4,82.0,27.0
0.0,20.4,78.0,27.6
0.0,18.8,77.0,27.9
0.0,17.3,72.0,28.5
0.6,17.900000000000002,77.0,27.9
0.0,17.900000000000002,77.0,28.6
0.0,0.6,74.0,29.1
0.0,0.6,75.0,29.0
0.0,0.6,75.0,29.2
0.0,0.6,71.0,29.7
0.0,0.6,69.0,29.9
0.0,0.0,71.0,29.2
0.0,0.0,75.0,28.1
0.0,0.0,72.0,28.9
0.0,0.0,72.0,29.2
0.0,0.0,74.0,29.0
0.0,0.0,76.0,28.6
0.3,0.3,91.0,25.0
27.0,27.3,79.0,28.0
0.0,27.3,79.0,28.4
0.0,27.3,75.0,29.0
7.0,34.3,86.0,26.4
0.8,34.3,83.0,26.9
0.8,34.3,80.0,28.0
24.1,58.10000000000001,88.0,26.6
0.8,31.100000000000005,82.0,27.7
0.0,31.1,82.0,27.0
0.8,31.1,80.0,28.1
0.8,24.1,80.0,28.6
0.8,24.1,75.0,28.4
0.0,24.1,78.0,28.0
0.0,0.0,76.0,28.0
0.0,0.0,83.0,27.8
1.2,1.2,96.0,25.6
49.7,50.900000000000006,82.0,27.7
0.8,50.900000000000006,84.0,27.7
11.6,62.50000000000001,76.0,29.1
3.6,66.10000000000001,88.0,25.8
0.4,66.5,86.0,26.6
0.8,66.5,82.0,27.6
0.0,65.3,90.0,25.7
8.9,24.5,87.0,25.9
0.3,24.8,83.0,26.5
0.0,13.2,81.0,26.9
0.0,9.6,83.0,26.9
0.0,9.2,75.0,27.6
0.8,9.2,76.0,28.7
0.0,9.2,73.0,28.5
0.0,0.3,73.0,28.8
0.8,0.0,75.0,28.9
15.5,15.5,80.0,29.2
13.0,28.5,80.0,27.1
0.5,29.0,88.0,25.8
0.8,29.0,78.0,28.9
0.1,29.1,80.0,28.2
0.8,29.1,73.0,29.9
8.3,37.4,76.0,28.7
0.0,21.9,85.0,26.8
4.8,13.7,82.0,27.1
0.1,13.3,88.0,26.6
8.2,21.5,87.0,26.1
0.0,21.4,74.0,28.2
0.8,21.4,81.0,27.2
1.6,14.7,81.0,27.6
0.4,15.1,77.0,27.5
0.0,10.3,84.0,26.7
0.8,10.2,76.0,28.0
0.8,2.8000000000000003,74.0,28.4
0.8,2.8000000000000003,75.0,28.8
0.1,2.9000000000000004,72.0,28.7
0.0,1.3,71.0,29.5
0.0,0.9,82.0,28.2
1.4,2.3,79.0,26.7
0.0,2.3,76.0,28.5
1.5,3.0,89.0,24.7
0.8,3.8,79.0,27.9
0.0,3.7,86.0,26.8
4.1,7.799999999999999,78.0,28.6
0.8,7.799999999999999,77.0,28.3
0.0,6.399999999999999,82.0,26.8
0.8,6.399999999999999,78.0,28.7
2.0,6.899999999999999,85.0,26.9
2.5,8.599999999999998,87.0,26.7
0.8,8.599999999999998,85.0,26.8
24.2,28.7,82.0,27.3
0.0,28.7,75.0,28.5
0.0,28.7,91.0,26.8
13.3,42.0,79.0,28.4
0.0,40.0,85.0,26.9
11.7,49.2,84.0,27.7
20.3,69.5,85.0,27.1
0.7,46.0,87.0,26.7
43.0,89.0,82.0,28.1
1.0,90.0,82.0,26.9
1.2,77.9,79.0,28.3
0.0,77.9,81.0,27.9
23.5,89.7,83.0,26.1
0.3,69.7,74.0,27.8
1.5,70.5,75.0,28.1
0.0,27.5,75.0,29.4
0.0,26.5,70.0,29.8
0.0,25.3,71.0,29.6
0.0,25.3,74.0,29.6
0.0,1.8,72.0,28.5
0.0,1.5,72.0,29.0
0.0,0.0,68.0,29.7
0.0,0.0,66.0,29.5
0.0,0.0,71.0,30.0
53.6,53.6,75.0,28.1
0.0,53.6,79.0,27.5
38.4,92.0,80.0,27.5
4.2,96.2,88.0,26.4
0.0,96.2,78.0,28.8
12.4,108.6,84.0,26.2
6.0,114.6,87.0,26.2
3.3,64.3,82.0,27.2
44.1,108.4,90.0,25.2
1.2,71.19999999999999,84.0,26.6
0.0,67.0,79.0,27.8
97.1,164.1,83.0,26.8
0.0,151.7,79.0,29.0
37.6,183.3,86.0,26.9
6.6,186.6,86.0,26.8
0.0,142.49999999999997,89.0,26.2
33.1,174.4,83.0,28.1
0.0,174.4,89.0,26.5
56.2,133.5,86.0,27.2
0.1,133.6,90.0,25.7
70.0,166.0,90.0,26.3
0.8,159.4,90.0,26.8
1.9,161.3,90.0,26.5
38.7,166.9,87.0,26.4
2.0,168.9,92.0,26.4
0.3,113.0,91.0,26.1
3.3,116.2,93.0,25.8
2.6,48.8,86.0,26.8
15.3,64.1,92.0,25.6
2.2,64.4,85.0,26.9
7.7,33.4,93.0,25.4
0.8,31.4,81.0,28.0
4.1,35.2,82.0,27.5
0.0,31.9,87.0,26.6
1.4,30.7,83.0,27.4
0.0,15.4,79.0,27.2
0.8,13.2,75.0,27.2
0.0,5.5,73.0,28.4
2.0,7.5,74.0,28.3
0.0,3.4,70.0,28.7
0.0,3.4,79.0,26.8
0.0,2.0,78.0,28.0
0.0,2.0,78.0,28.3
11.5,13.5,86.0,26.3
10.5,24.0,85.0,26.8
0.0,22.0,76.0,28.4
0.0,22.0,79.0,28.6
0.0,22.0,79.0,28.7
4.0,26.0,86.0,27.7
25.5,51.5,89.0,26.0
64.9,104.9,86.0,26.1
3.5,97.9,90.0,25.7
12.4,110.3,82.0,27.6
21.0,131.3,85.0,27.1
38.5,169.8,94.0,25.6
6.0,171.8,86.0,27.3
1.0,147.3,87.0,26.4
0.8,82.4,86.0,27.1
0.8,78.9,81.0,28.3
4.0,70.5,83.0,27.5
8.2,57.7,84.0,27.7
52.7,71.9,87.0,25.9
0.7,66.60000000000001,84.0,27.4
0.0,65.60000000000001,81.0,28.0
18.0,83.60000000000001,82.0,28.0
10.9,94.5,86.0,26.9
0.0,90.5,89.0,26.6
0.8,82.3,84.0,27.3
0.0,29.6,83.0,27.3
19.0,47.900000000000006,89.0,25.7
43.5,91.4,84.0,26.4
0.2,73.60000000000001,90.0,26.1
14.8,77.5,86.0,26.3
0.1,77.60000000000001,95.0,24.1
10.0,87.60000000000001,97.0,24.0
24.7,112.3,90.0,25.1
0.8,93.3,92.0,25.5
72.6,122.4,91.0,25.7
0.8,122.2,92.0,25.6
52.6,160.0,87.0,26.0
24.2,184.1,95.0,25.0
26.1,200.2,89.0,26.0
1.4,176.9,88.0,26.3
0.0,176.9,83.0,26.8
0.0,104.3,90.0,25.9
3.2,107.5,88.0,26.5
0.0,54.90000000000001,84.0,27.1
82.4,113.10000000000002,93.0,25.5
67.8,154.8,87.0,26.3
0.8,153.4,92.0,25.6
30.1,183.50000000000003,97.0,23.8
7.2,190.7,88.0,25.3
0.0,187.50000000000003,84.0,25.4
7.0,194.50000000000003,84.0,26.2
16.0,128.10000000000002,80.0,26.4
0.0,60.30000000000001,81.0,27.8
0.3,60.600000000000016,78.0,28.2
5.0,35.500000000000014,76.0,27.4
0.0,28.30000000000001,84.0,26.2
2.5,30.80000000000001,82.0,26.3
0.0,23.80000000000001,79.0,26.8
0.2,8.000000000000014,86.0,25.5
3.5,11.500000000000014,83.0,26.2
1.2,12.400000000000013,82.0,26.1
0.0,7.400000000000015,75.0,27.1
0.0,7.400000000000015,78.0,27.7
0.0,4.900000000000015,82.0,27.8
0.0,4.900000000000015,86.0,27.1
28.0,32.70000000000002,81.0,27.3
17.6,46.80000000000001,85.0,27.1
0.0,45.60000000000001,84.0,26.8
17.0,62.60000000000001,85.0,26.8
50.0,112.6,91.0,24.7
0.8,112.6,81.0,27.6
0.8,112.6,83.0,27.2
1.2,85.80000000000001,88.0,26.4
14.4,82.60000000000001,93.0,25.4
110.2,192.8,91.0,25.1
