Date,RR,Rain7,RH_avg,Tavg,FRI_v2
2024-07-01,0.1,0.1,81.0,27.4,20.118740157480318
2024-07-02,0.0,0.1,77.0,27.9,14.141240157480317
2024-07-03,2.1,2.2,74.0,28.6,16.52069616297963
2024-07-04,0.0,2.2,73.0,27.6,12.714426321709793
2024-07-05,0.0,2.2,78.0,27.3,15.829505686789156
2024-07-06,0.8,3.0,79.0,27.4,18.932204724409445
2024-07-07,2.5,5.5,75.0,27.9,18.321780089988746
2024-07-08,0.8,5.4,81.0,27.4,8.503937007874002
2024-07-09,1.6,7.0,87.0,26.9,32.887922134733145
2024-07-10,1.5,6.4,86.0,26.1,30.306036745406814
2024-07-11,0.8,6.4,74.0,27.6,18.39691913510811
2024-07-12,0.0,6.4,86.0,26.4,29.956036745406813
2024-07-13,17.3,22.9,79.0,28.7,38.39669424428431
2024-07-14,0.0,20.4,82.0,27.0,34.700338048216345
2024-07-15,0.0,20.4,78.0,27.6,29.311449159327463
2024-07-16,0.0,18.8,77.0,27.9,27.733436749399505
2024-07-17,0.0,17.3,72.0,28.5,25.8085516031873
2024-07-18,0.6,17.900000000000002,77.0,27.9,27.61314851881504
2024-07-19,0.0,17.900000000000002,77.0,28.6,28.8662040743706
2024-07-20,0.0,0.6,74.0,29.1,15.115298087739031
2024-07-21,0.0,0.6,75.0,29.0,15.512123484564428
2024-07-22,0.0,0.6,75.0,29.2,15.789901262342209
2024-07-23,0.0,0.6,71.0,29.7,14.34148856392951
2024-07-24,0.0,0.6,69.0,29.9,13.547837770278711
2024-07-25,0.0,0.0,71.0,29.2,13.174603174603176
2024-07-26,0.0,0.0,75.0,28.1,13.616071428571436
2024-07-27,0.0,0.0,72.0,28.9,13.293650793650793
2024-07-28,0.0,0.0,72.0,29.2,13.71031746031746
2024-07-29,0.0,0.0,74.0,29.0,14.503968253968251
2024-07-30,0.0,0.0,76.0,28.6,15.019841269841272
2024-07-31,0.3,0.3,91.0,25.0,27.231220472440945
2024-08-01,27.0,27.3,79.0,28.0,39.8986589271417
2024-08-02,0.0,27.3,79.0,28.4,36.101436704919486
2024-08-03,0.0,27.3,75.0,29.0,32.11334146682424
2024-08-04,7.0,34.3,86.0,26.4,47.05923405390978
2024-08-05,0.8,34.3,83.0,26.9,46.096679812986174
2024-08-06,0.8,34.3,80.0,28.0,44.30655635619605
