tanggal,tn,tx,tavg,rh_avg,rr,source_file,month,day_of_year,rain3,rain3_valid_days,rain7,rain7_valid_days,rain14,rain14_valid_days,temp_range,rainfall_anomaly
2024-07-01,24.3,31.5,27.4,81.0,0.1,laporan_iklim_harian-Juli - 2024.xlsx,7,183,0.1,1,0.1,1,0.1,1,7.199999999999999,42.714723926380366
2024-07-02,24.3,33.2,27.9,77.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,184,0.1,2,0.1,2,0.1,2,8.900000000000002,21.012269938650306
2024-07-03,24.2,33.6,28.6,74.0,2.1,laporan_iklim_harian-Juli - 2024.xlsx,7,185,2.2,3,2.2,3,2.2,3,9.400000000000002,58.66564417177914
2024-07-04,22.6,32.9,27.6,73.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,186,2.1,3,2.2,4,2.2,4,10.299999999999997,21.012269938650306
2024-07-05,22.4,34.2,27.3,78.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,187,2.1,3,2.2,5,2.2,5,11.800000000000004,21.012269938650306
2024-07-06,22.8,32.5,27.4,79.0,0.8,laporan_iklim_harian-Juli - 2024.xlsx,7,188,0.8,3,3.0,6,3.0,6,9.7,50.61349693251533
2024-07-07,22.1,33.1,27.9,75.0,2.5,laporan_iklim_harian-Juli - 2024.xlsx,7,189,3.3,3,5.5,7,5.5,7,11.0,60.73619631901841
2024-07-08,,30.8,,,,laporan_iklim_harian-Juli - 2024.xlsx,7,190,3.3,2,5.4,6,5.5,7,,
2024-07-09,23.7,30.1,26.9,87.0,1.6,laporan_iklim_harian-Juli - 2024.xlsx,7,191,4.1,2,7.0,6,7.1,8,6.400000000000002,56.28834355828221
2024-07-10,23.4,30.4,26.1,86.0,1.5,laporan_iklim_harian-Juli - 2024.xlsx,7,192,3.1,2,6.4,6,8.6,9,7.0,55.52147239263804
2024-07-11,22.8,33.9,27.6,74.0,,laporan_iklim_harian-Juli - 2024.xlsx,7,193,3.1,2,6.4,5,8.6,9,11.099999999999998,
