tanggal,tn,tx,tavg,rh_avg,rr,source_file,month,day_of_year,rain3,rain3_valid_days,rain7,rain7_valid_days,rain14,rain14_valid_days,temp_range,rainfall_anomaly,score_rr,score_rain3,score_rain7,score_rain14,score_rh_avg,score_temp_range,fri,risk_level,confidence
2024-07-01,24.3,31.5,27.4,81.0,0.1,laporan_iklim_harian-Juli - 2024.xlsx,7,183,0.1,1,0.1,1,0.1,1,7.199999999999999,42.714723926380366,0.4,1.2499999999999922,0.15748031496062967,0.0,50.0,79.08163265306123,19.735866945203277,Low,0.18253968253968253
2024-07-02,24.3,33.2,27.9,77.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,184,0.1,2,0.1,2,0.1,2,8.900000000000002,21.012269938650302,0.0,1.2499999999999922,0.15748031496062967,0.0,25.0,56.25,12.461122047244093,Low,0.36507936507936506
2024-07-03,24.2,33.6,28.6,74.0,2.1,laporan_iklim_harian-Juli - 2024.xlsx,7,185,2.2,3,2.2,3,2.2,3,9.400000000000002,58.66564417177914,8.4,25.406504065040625,3.464566929133853,1.0401188707280835,19.642857142857142,45.00000000000003,17.501426310879587,Low,0.5476190476190476
2024-07-04,22.6,32.9,27.6,73.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,186,2.1,3,2.2,4,2.2,4,10.299999999999995,21.012269938650302,0.0,25.2032520325203,3.464566929133853,1.0401188707280835,17.857142857142858,24.444444444444496,12.009585428185048,Low,0.6190476190476191
2024-07-05,22.4,34.2,27.3,78.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,187,2.1,3,2.2,5,2.2,5,11.800000000000004,21.012269938650302,0.0,25.2032520325203,3.464566929133853,1.0401188707280835,31.25,16.1111111111111,12.76851399961361,Low,0.6904761904761906
2024-07-06,22.8,32.5,27.4,79.0,0.8,laporan_iklim_harian-Juli - 2024.xlsx,7,188,0.8,3,3.0,6,3.0,6,9.7,50.61349693251533,3.2,9.999999999999938,4.72440944881889,1.4363546310054485,37.5,37.500000000000114,14.902296880423382,Low,0.7619047619047619
2024-07-07,22.1,33.1,27.9,75.0,2.5,laporan_iklim_harian-Juli - 2024.xlsx,7,189,3.3,3,5.5,7,5.5,7,11.0,60.73619631901841,10.0,27.642276422764198,8.661417322834632,2.6745913818722147,21.42857142857143,20.555555555555575,15.892746068784309,Low,0.8333333333333334
2024-07-08,,30.8,,,,laporan_iklim_harian-Juli - 2024.xlsx,7,190,3.3,2,5.4,6,5.5,7,,,,27.642276422764198,8.503937007874002,2.6745913818722147,,,15.714455497602582,Low,0.3035714285714285
2024-07-09,23.7,30.1,26.9,87.0,1.6,laporan_iklim_harian-Juli - 2024.xlsx,7,191,4.1,2,7.0,6,7.1,8,6.400000000000002,56.28834355828221,6.4,29.2682926829268,11.023622047244077,3.4670629024269446,77.08333333333333,83.16326530612244,33.49089792983303,Medium,0.6984126984126983
2024-07-10,23.4,30.4,26.1,86.0,1.5,laporan_iklim_harian-Juli - 2024.xlsx,7,192,3.1,2,6.4,6,8.6,9,7.0,55.52147239263804,6.0,27.235772357723548,10.078740157480299,4.2100049529470045,75.0,80.10204081632654,32.14527211291043,Low,0.7222222222222222
2024-07-11,22.8,33.9,27.6,74.0,,laporan_iklim_harian-Juli - 2024.xlsx,7,193,3.1,2,6.4,5,8.6,9,11.099999999999998,,,27.235772357723548,10.078740157480299,4.2100049529470045,19.642857142857142,20.000000000000032,17.768526082520044,Low,0.5059523809523809
2024-07-12,23.4,31.4,26.4,86.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,194,1.5,2,6.4,5,8.6,10,8.0,21.012269938650302,0.0,18.749999999999883,10.078740157480299,4.2100049529470045,75.0,75.0,28.182811518916722,Low,0.6984126984126985
2024-07-13,23.6,33.9,28.7,79.0,17.3,laporan_iklim_harian-Juli - 2024.xlsx,7,195,17.3,2,22.9,5,25.9,11,10.299999999999995,82.05521472392638,36.4,52.846299810246656,30.624499599679723,12.778603268945023,37.5,24.444444444444496,34.83246189556247,Medium,0.7222222222222222
2024-07-14,24.2,30.2,27.0,82.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,196,17.3,3,20.4,5,25.9,12,6.0,21.012269938650302,0.0,52.846299810246656,28.622898318654904,12.778603268945023,55.0,85.20408163265306,37.171167281640024,Medium,0.8571428571428572
2024-07-15,23.8,32.2,27.6,78.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,197,17.3,3,20.4,6,25.8,12,8.400000000000002,21.012269938650302,0.0,52.846299810246656,28.622898318654904,12.729073798910353,31.25,66.66666666666664,30.823102089738597,Low,0.9047619047619048
2024-07-16,23.8,31.8,27.9,77.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,198,0.0,3,18.8,6,25.8,12,8.0,21.012269938650302,0.0,0.0,27.341873498799018,12.729073798910353,25.0,75.0,20.374188404710885,Low,0.9047619047619048
2024-07-17,24.2,33.2,28.5,72.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,199,0.0,3,17.3,6,23.700000000000003,12,9.000000000000004,21.012269938650302,0.0,0.0,26.140912730184127,11.688954928182271,16.071428571428573,54.16666666666664,15.62574668806013,Low,0.9047619047619048
2024-07-18,22.8,33.8,27.9,77.0,0.6,laporan_iklim_harian-Juli - 2024.xlsx,7,200,0.6,3,17.900000000000002,7,24.300000000000004,12,10.999999999999996,49.15644171779141,2.4,7.499999999999953,26.621297037630086,11.986131748390296,25.0,20.555555555555596,14.125141063816873,Low,0.9523809523809524
2024-07-19,23.4,33.2,28.6,77.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,201,0.6,3,17.900000000000002,7,24.300000000000004,12,9.800000000000004,21.012269938650302,0.0,7.499999999999953,26.621297037630086,11.986131748390296,25.0,34.999999999999986,15.691807730483529,Low,0.9523809523809524
2024-07-20,25.0,34.0,29.1,74.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,202,0.6,3,0.6,7,23.500000000000004,12,9.0,21.012269938650302,0.0,7.499999999999953,0.944881889763778,11.58989598811293,19.642857142857142,54.166666666666714,13.872150453704428,Low,0.9523809523809524
2024-07-21,25.4,33.3,29.0,75.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,203,0.0,3,0.6,7,21.000000000000004,12,7.899999999999999,21.012269938650302,0.0,0.0,0.944881889763778,10.351659237246164,21.42857142857143,75.51020408163265,15.717714533719795,Low,0.9523809523809524
2024-07-22,25.5,34.4,29.2,75.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,204,0.0,3,0.6,7,21.000000000000004,13,8.899999999999999,21.012269938650302,0.0,0.0,0.944881889763778,10.351659237246164,21.42857142857143,56.25000000000007,12.828683921474909,Low,0.9761904761904763
2024-07-23,25.0,35.2,29.7,71.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,205,0.0,3,0.6,7,19.4,13,10.200000000000005,21.012269938650302,0.0,0.0,0.944881889763778,9.559187716691431,14.285714285714286,25.0,6.990508197990852,Low,0.9761904761904763
2024-07-24,26.0,35.6,29.9,69.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,206,0.0,3,0.6,7,17.900000000000002,13,9.6,21.012269938650302,0.0,0.0,0.944881889763778,8.816245666171374,10.714285714285715,40.0000000000001,8.630499707224576,Low,0.9761904761904763
2024-07-25,24.6,35.2,29.2,71.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,207,0.0,3,0.0,7,17.900000000000002,14,10.6,21.012269938650302,0.0,0.0,0.0,8.816245666171374,14.285714285714286,22.777777777777803,6.441148376140951,Low,1.0
2024-07-26,23.8,34.0,28.1,75.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,208,0.0,3,0.0,7,17.900000000000002,14,10.2,21.012269938650302,0.0,0.0,0.0,8.816245666171374,21.42857142857143,25.00000000000013,7.845910280902872,Low,1.0
2024-07-27,24.2,33.7,28.9,72.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,209,0.0,3,0.0,7,0.6,14,9.500000000000004,21.012269938650302,0.0,0.0,0.0,0.24764735017335318,16.071428571428573,42.49999999999999,8.81047902073162,Low,1.0
2024-07-28,24.8,34.7,29.2,72.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,210,0.0,3,0.0,7,0.6,14,9.900000000000002,21.012269938650302,0.0,0.0,0.0,0.24764735017335318,16.071428571428573,32.50000000000004,7.310479020731627,Low,1.0
2024-07-29,24.7,33.9,29.0,74.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,211,0.0,3,0.0,7,0.6,14,9.2,21.012269938650302,0.0,0.0,0.0,0.24764735017335318,19.642857142857142,50.00000000000007,10.471193306445917,Low,1.0
2024-07-30,23.7,34.6,28.6,76.0,0.0,laporan_iklim_harian-Juli - 2024.xlsx,7,212,0.0,3,0.0,7,0.6,14,10.900000000000002,21.012269938650302,0.0,0.0,0.0,0.24764735017335318,23.214285714285715,21.11111111111112,6.673574258826861,Low,1.0
2024-07-31,23.7,29.0,25.0,91.0,0.3,laporan_iklim_harian-Juli - 2024.xlsx,7,213,0.3,3,0.3,7,0.8999999999999999,14,5.300000000000001,46.08895705521473,1.2,3.7499999999999765,0.472440944881889,0.39623576027736507,85.41666666666667,88.77551020408163,27.28931624837226,Low,1.0
2024-08-01,23.1,33.9,28.0,79.0,27.0,laporan_iklim_harian-agustus - 2024.xlsx,8,214,27.3,3,27.3,7,27.3,14,10.799999999999995,88.34355828220859,47.0,62.33396584440225,34.14731785428341,13.472015849430413,37.5,21.666666666666714,39.56109243196601,Medium,1.0
2024-08-02,23.2,33.1,28.4,79.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,215,27.3,3,27.3,7,27.3,14,9.900000000000002,21.012269938650302,0.0,62.33396584440225,34.14731785428341,13.472015849430413,37.5,32.50000000000004,29.436092431966006,Low,1.0
2024-08-03,25.1,33.9,29.0,75.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,216,27.0,3,27.3,7,27.3,14,8.799999999999997,21.012269938650302,0.0,62.04933586337758,34.14731785428341,13.472015849430413,21.42857142857143,58.33333333333343,30.843452150046797,Low,1.0
2024-08-04,23.3,32.3,26.4,86.0,7.0,laporan_iklim_harian-agustus - 2024.xlsx,8,217,7.0,3,34.3,7,34.3,14,8.999999999999996,69.93865030674846,22.666666666666668,35.16260162601622,39.7518014411529,16.939078751857355,75.0,54.16666666666679,39.7308650832286,Medium,1.0
2024-08-05,23.1,31.4,26.9,83.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,218,7.0,2,34.3,6,34.3,13,8.299999999999997,,,35.16260162601622,39.7518014411529,16.939078751857355,60.0,68.75000000000007,45.33559788874923,Medium,0.6130952380952381
2024-08-06,23.8,32.7,28.0,80.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,219,7.0,1,34.3,5,34.3,12,8.900000000000002,,,35.16260162601622,39.7518014411529,16.939078751857355,43.75,56.25,39.58559788874922,Medium,0.47619047619047616
2024-08-07,23.9,31.2,26.6,88.0,24.1,laporan_iklim_harian-agustus - 2024.xlsx,8,220,24.1,1,58.10000000000001,5,58.400000000000006,12,7.300000000000001,86.1963190184049,44.1,59.297912713472456,57.078507078507066,29.107611548556434,79.16666666666667,78.57142857142857,58.01783404504048,Medium,0.6349206349206349
2024-08-08,24.0,32.6,27.7,82.0,,laporan_iklim_harian-agustus - 2024.xlsx,8,221,24.1,1,31.100000000000005,4,58.400000000000006,11,8.600000000000001,,,59.297912713472456,37.18975180144113,29.107611548556434,55.0,62.5,50.63174195702174,Medium,0.42261904761904756
2024-08-09,24.8,31.2,27.0,82.0,0.0,laporan_iklim_harian-agustus - 2024.xlsx,8,222,24.1,2,31.1,4,58.400000000000006,11,6.399999999999999,21.012269938650302,0.0,59.297912713472456,37.18975180144113,29.107611548556434,55.0,83.16326530612245,41.07329626368467,Medium,0.6746031746031745
